file	line	symbol	construct	text
src/oblib/lib/utility/ob_sort.h	30	ob_sort	tracepoint 2501 EN_CHECK_SORT_CMP read as a value or switch; named by s5-execution.md rule 4.6; statement: int ret = OB_E(EventTable::EN_CHECK_SORT_CMP) OB_SUCCESS	int ret = OB_E(EventTable::EN_CHECK_SORT_CMP) OB_SUCCESS;
src/oblib/lib/utility/ob_tracepoint_def.h	167	-	definition of tracepoint 311 EN_DAS_SIMULATE_GROUP_SIZE; named by s5-execution.md rule 4.6; set by tools/deploy/init.sql	GLOBAL_ERRSIM_POINT_DEF(311, EN_DAS_SIMULATE_GROUP_SIZE, "");
src/oblib/lib/utility/ob_tracepoint_def.h	348	-	definition of tracepoint 1200 EN_ENABLE_NEWSORT_FORCE; named by s5-execution.md rule 4.6; set by tools/deploy/init.sql	GLOBAL_ERRSIM_POINT_DEF(1200, EN_ENABLE_NEWSORT_FORCE, "");
src/oblib/lib/utility/ob_tracepoint_def.h	375	-	definition of tracepoint 2206 EN_ENABLE_RANDOM_BATCH_SIZE; named by s5-execution.md rule 4.6	GLOBAL_ERRSIM_POINT_DEF(2206, EN_ENABLE_RANDOM_BATCH_SIZE, "Used to random batch size in vectorization");
src/oblib/lib/utility/ob_tracepoint_def.h	386	-	definition of tracepoint 2501 EN_CHECK_SORT_CMP; named by s5-execution.md rule 4.6	GLOBAL_ERRSIM_POINT_DEF(2501, EN_CHECK_SORT_CMP, "Used to check the legality of the compare method for std::sort");
src/sql/code_generator/ob_code_generator.cpp	158	ObCodeGenerator::detect_batch_size	tracepoint 2206 EN_ENABLE_RANDOM_BATCH_SIZE read as a value or switch; named by s5-execution.md rule 4.6; statement: tmp_ret = OB_E(EventTable::EN_ENABLE_RANDOM_BATCH_SIZE) OB_SUCCESS	tmp_ret = OB_E(EventTable::EN_ENABLE_RANDOM_BATCH_SIZE) OB_SUCCESS;
src/sql/code_generator/ob_static_engine_cg.cpp	2584	ObStaticEngineCG::generate_spec	tracepoint 614 EN_PX_DISABLE_RUNTIME_FILTER_EXTRACT_QUERY_RANGE read as a value or switch; statement: int tmp_ret = OB_E(EventTable::EN_PX_DISABLE_RUNTIME_FILTER_EXTRACT_QUERY_RANGE) OB_SUCCESS	int tmp_ret = OB_E(EventTable::EN_PX_DISABLE_RUNTIME_FILTER_EXTRACT_QUERY_RANGE) OB_SUCCESS;
src/sql/code_generator/ob_static_engine_cg.cpp	3252	ObStaticEngineCG::generate_spec	tracepoint 2302 EN_DISABLE_HASH_BASE_DISTINCT read as a value or switch; its name says hash; statement: int tmp_ret = OB_E(EventTable::EN_DISABLE_HASH_BASE_DISTINCT) OB_SUCCESS	int tmp_ret = OB_E(EventTable::EN_DISABLE_HASH_BASE_DISTINCT) OB_SUCCESS;
src/sql/code_generator/ob_static_engine_cg.cpp	3281	ObStaticEngineCG::generate_spec	tracepoint 2302 EN_DISABLE_HASH_BASE_DISTINCT read as a value or switch; its name says hash; statement: int tmp_ret = OB_E(EventTable::EN_DISABLE_HASH_BASE_DISTINCT) OB_SUCCESS	int tmp_ret = OB_E(EventTable::EN_DISABLE_HASH_BASE_DISTINCT) OB_SUCCESS;
src/sql/code_generator/ob_static_engine_cg.cpp	5061	ObStaticEngineCG::generate_spec	tracepoint 2302 EN_DISABLE_HASH_BASE_DISTINCT read as a value or switch; its name says hash; statement: int tmp_ret = OB_E(EventTable::EN_DISABLE_HASH_BASE_DISTINCT) OB_SUCCESS	int tmp_ret = OB_E(EventTable::EN_DISABLE_HASH_BASE_DISTINCT) OB_SUCCESS;
src/sql/das/iter/ob_das_cache_lookup_iter.cpp	132	ObDASCacheLookupIter::inner_init	tracepoint 400 EN_TABLE_LOOKUP_BATCH_ROW_COUNT read as a number; its name says batch; statement: const int64_t simulate_batch_row_cnt = - EVENT_CALL(EventTable::EN_TABLE_LOOKUP_BATCH_ROW_COUNT)	const int64_t simulate_batch_row_cnt = - EVENT_CALL(EventTable::EN_TABLE_LOOKUP_BATCH_ROW_COUNT);
src/sql/das/iter/ob_das_functional_lookup_iter.cpp	150	ObDASFuncLookupIter::inner_get_next_row	tracepoint 400 EN_TABLE_LOOKUP_BATCH_ROW_COUNT read as a number; its name says batch; statement: int64_t simulate_batch_row_cnt = - EVENT_CALL(EventTable::EN_TABLE_LOOKUP_BATCH_ROW_COUNT)	int64_t simulate_batch_row_cnt = - EVENT_CALL(EventTable::EN_TABLE_LOOKUP_BATCH_ROW_COUNT);
